task_id,label,scoreable_n,pass_n,not_pass_n,pass_rate,mean_score,score_stdev,min_score,max_score
P15-A-ENG-SIZING-001,A 工程选泵,21,13,8,0.619048,0.644841,0.464269,0.0,1.0
P15-A-FIN-DCF-001,A 现金流估值,22,11,11,0.5,0.627525,0.421728,0.0,1.0
P15-A-FIN-DEBUG-001,A 财务纠错,22,22,0,1.0,1.0,0.0,1.0,1.0
P15-A-POLICY-EIA-001,A 政策情景,22,8,14,0.363636,0.672727,0.275453,0.0,1.0
P15-A-STAT-EXPERIMENT-001,A 配对实验,21,2,19,0.095238,0.390873,0.337395,0.0,1.0
P15-B-FIN-RECON-001,B 财务对账,22,0,22,0.0,0.020979,0.067347,0.0,0.269231
P15-B-HEALTH-REPORT-001,B 健康数据报告,22,1,21,0.045455,0.232323,0.248247,0.0,0.925926
P15-B-OPS-CLEAN-JOIN-001,B 订单清洗合并,19,0,19,0.0,0.022267,0.01899,0.0,0.038462
P15-B-PUBLIC-PIVOT-001,B 原生透视表,19,19,0,1.0,1.0,0.0,1.0,1.0
P15-B-SALES-DISCOVERY-001,B 销售数据选择,21,1,20,0.047619,0.169524,0.1904,0.0,0.92
P15-C-INVOICE-001,C 发票整理,22,5,17,0.227273,0.606583,0.300732,0.0,1.0
P15-C-PO-ADDENDUM-001,C 采购变更单,22,1,21,0.045455,0.433333,0.168175,0.266667,1.0
P15-C-QUOTE-001,C 报价单整理,23,0,23,0.0,0.310345,0.223474,0.0,0.62069
P15-C-RECEIPTS-001,C 多张票据整理,20,0,20,0.0,0.25,0.144337,0.0,0.333333
P15-C-STATEMENT-001,C 银行账单整理,22,1,21,0.045455,0.380303,0.310695,0.0,1.0
