task_id,track,controller_coverage_n,countable_complete_n,artifact_backed_n,controller_inconsistency_n,recovered_abnormal_artifact_n,incomplete_agent_artifact_n,native_receipt_inconsistent_artifact_n,model_delivery_failure_n,excluded_unscoreable_receipt_n,codex_n,codex_baseline_n,codex_baseline_mean_provisional,codex_current_contract_n,codex_current_contract_mean_provisional,claude_n,claude_baseline_n,claude_baseline_mean_provisional,claude_current_contract_n,claude_current_contract_mean_provisional,qwen_n,qwen_baseline_n,qwen_baseline_mean_provisional,qwen_current_contract_n,qwen_current_contract_mean_provisional,baseline_system_balanced_mean_provisional,current_contract_system_balanced_mean_provisional,numeric_difficulty_status,windows_excel_status
P15-A-FIN-DCF-001,A,20,20,20,0,3,0,0,0,9,7,1,1.000000,6,0.850000,6,1,0.000000,5,0.111111,7,1,1.000000,6,0.933333,0.666667,0.631481,NOT_INTERPRETABLE_BEFORE_JUDGE_V2_HUMAN_AND_CONTRACT_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-A-FIN-DEBUG-001,A,23,23,23,0,1,0,0,0,6,8,1,1.000000,7,1.000000,7,2,1.000000,5,1.000000,8,1,1.000000,7,1.000000,1.000000,1.000000,NOT_INTERPRETABLE_BEFORE_JUDGE_V2_HUMAN_AND_CONTRACT_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-A-ENG-SIZING-001,A,19,19,19,0,4,0,0,0,6,8,1,1.000000,7,0.934524,5,1,0.000000,4,0.000000,6,1,1.000000,5,1.000000,0.666667,0.644841,NOT_INTERPRETABLE_BEFORE_JUDGE_V2_HUMAN_AND_CONTRACT_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-A-STAT-EXPERIMENT-001,A,20,20,20,0,4,0,0,0,13,7,1,1.000000,6,0.506945,6,1,0.000000,5,0.000000,7,1,1.000000,6,0.652778,0.666667,0.386574,NOT_INTERPRETABLE_BEFORE_JUDGE_V2_HUMAN_AND_CONTRACT_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-A-POLICY-EIA-001,A,21,21,21,0,2,0,0,0,6,8,1,0.560000,7,0.845714,6,1,0.000000,5,0.504000,7,1,0.560000,6,0.633333,0.373333,0.661016,NOT_INTERPRETABLE_BEFORE_JUDGE_V2_HUMAN_AND_CONTRACT_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-B-SALES-DISCOVERY-001,B,17,17,17,0,7,0,0,0,1,6,1,0.240000,5,0.360000,6,1,0.000000,5,0.032000,5,1,0.160000,4,0.180000,0.133333,0.190667,NOT_INTERPRETABLE_BEFORE_JUDGE_V2_HUMAN_AND_CONTRACT_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-B-OPS-CLEAN-JOIN-001,B,19,19,19,0,3,1,0,0,3,6,1,0.038462,5,0.030770,7,1,0.000000,6,0.000000,6,1,0.038462,5,0.038462,0.025641,0.023077,NOT_INTERPRETABLE_BEFORE_JUDGE_V2_HUMAN_AND_CONTRACT_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-B-FIN-RECON-001,B,23,23,23,0,0,0,0,0,5,8,1,0.000000,7,0.065934,8,1,0.000000,7,0.000000,7,1,0.000000,6,0.000000,0.000000,0.021978,NOT_INTERPRETABLE_BEFORE_JUDGE_V2_HUMAN_AND_CONTRACT_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-B-HEALTH-REPORT-001,B,23,23,23,0,2,0,0,0,9,8,1,0.925926,7,0.470900,7,1,0.000000,6,0.000000,8,1,0.037037,7,0.216931,0.320988,0.229277,NOT_INTERPRETABLE_BEFORE_JUDGE_V2_HUMAN_AND_CONTRACT_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-C-INVOICE-001,C,22,22,22,0,2,0,0,0,6,7,1,1.000000,6,0.873563,7,1,0.620690,6,0.356322,8,1,1.000000,7,0.674877,0.873563,0.634921,NOT_INTERPRETABLE_BEFORE_JUDGE_V2_HUMAN_AND_CONTRACT_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-C-QUOTE-001,C,20,20,20,0,4,0,0,1,5,7,1,0.655172,6,0.545977,6,1,0.000000,5,0.034483,7,1,0.275862,6,0.344828,0.310345,0.308429,NOT_INTERPRETABLE_BEFORE_JUDGE_V2_HUMAN_AND_CONTRACT_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-C-RECEIPTS-001,C,21,21,21,0,2,0,0,0,5,8,1,0.333333,7,0.333333,6,1,0.000000,5,0.133333,7,1,0.333333,6,0.333333,0.222222,0.266666,NOT_INTERPRETABLE_BEFORE_JUDGE_V2_HUMAN_AND_CONTRACT_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-C-PO-ADDENDUM-001,C,20,20,20,0,3,0,0,0,6,7,0,,7,0.433333,7,1,0.400000,6,0.427778,6,1,0.633333,5,0.493333,0.516667,0.451481,NOT_INTERPRETABLE_BEFORE_JUDGE_V2_HUMAN_AND_CONTRACT_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-C-STATEMENT-001,C,22,22,22,0,0,0,0,0,9,7,0,,7,0.576190,8,1,0.000000,7,0.090476,7,1,0.633333,6,0.450000,0.316667,0.372222,NOT_INTERPRETABLE_BEFORE_JUDGE_V2_HUMAN_AND_CONTRACT_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-B-PUBLIC-PIVOT-001,B,15,15,15,0,6,0,4,0,20,6,0,,6,0.895833,7,0,,7,0.732143,2,0,,2,1.000000,,0.875992,NOT_INTERPRETABLE_BEFORE_JUDGE_V2_HUMAN_AND_CONTRACT_FREEZE,PENDING
