task_id,track,system,controller_coverage_n,baseline_n,current_contract_n,countable_complete_n,artifact_backed_n,controller_inconsistency_n,recovered_abnormal_artifact_n,incomplete_agent_artifact_n,native_receipt_inconsistent_artifact_n,model_delivery_failure_n,excluded_unscoreable_receipt_n,baseline_successes_at_0_70,baseline_empirical_success_rate,baseline_mean_provisional,baseline_median_provisional,baseline_stddev_provisional,current_contract_successes_at_0_70,current_contract_empirical_success_rate,current_contract_mean_provisional,current_contract_median_provisional,current_contract_stddev_provisional,standard_pass_at_8,pass_at_8_status,judge_status,windows_excel_status
P15-A-FIN-DCF-001,A,codex_gpt56sol,7,1,6,7,7,0,0,0,0,0,4,1,1.000000,1.000000,1.000000,0.000000,4,0.666667,0.850000,1.000000,0.212132,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-A-FIN-DCF-001,A,claude_opus5,6,1,5,6,6,0,2,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.111111,0.000000,0.222222,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-A-FIN-DCF-001,A,qwen38max,7,1,6,7,7,0,1,0,0,0,5,1,1.000000,1.000000,1.000000,0.000000,5,0.833333,0.933333,1.000000,0.149071,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-A-FIN-DEBUG-001,A,codex_gpt56sol,8,1,7,8,8,0,0,0,0,0,0,1,1.000000,1.000000,1.000000,0.000000,7,1.000000,1.000000,1.000000,0.000000,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-A-FIN-DEBUG-001,A,claude_opus5,7,2,5,7,7,0,1,0,0,0,1,2,1.000000,1.000000,1.000000,0.000000,5,1.000000,1.000000,1.000000,0.000000,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-A-FIN-DEBUG-001,A,qwen38max,8,1,7,8,8,0,0,0,0,0,5,1,1.000000,1.000000,1.000000,0.000000,7,1.000000,1.000000,1.000000,0.000000,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-A-ENG-SIZING-001,A,codex_gpt56sol,8,1,7,8,8,0,0,0,0,0,2,1,1.000000,1.000000,1.000000,0.000000,6,0.857143,0.934524,1.000000,0.144092,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-A-ENG-SIZING-001,A,claude_opus5,5,1,4,5,5,0,3,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-A-ENG-SIZING-001,A,qwen38max,6,1,5,6,6,0,1,0,0,0,4,1,1.000000,1.000000,1.000000,0.000000,5,1.000000,1.000000,1.000000,0.000000,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
P15-A-STAT-EXPERIMENT-001,A,codex_gpt56sol,7,1,6,7,7,0,2,0,0,0,6,1,1.000000,1.000000,1.000000,0.000000,0,0.000000,0.506945,0.500000,0.084768,,NOT_REPORTED_MIXED_CONTRACTS_AND_DEFINITION_UNFROZEN,PROVISIONAL_PRE_V2_FREEZE,NOT_REQUIRED_OR_UNDETERMINED
