task_id,track,system,agent,model,provider,status,attempts,passes,mean,median,pass_at_1,pass_at_8,pass_at_8_status,runtime_errors,cost_usd,time_seconds,main_failure
P15-A-FIN-DCF-001,A,codex_gpt56sol,codex,gpt-5.6-sol,OpenAI,AVAILABLE_DEV_N4,4,4,1.000000,1.000000,1.000000,,N_LT_8,0,3.644219,2907.816,NONE
P15-A-FIN-DCF-001,A,claude,claude-code,anthropic/claude-opus-4.8,OpenRouter public egress,REAL_PAID_PUBLIC_EGRESS_PASS1,1,1,1.000000,1.000000,1.000000,,N_LT_8,0,2.141572,107.220,NONE
P15-A-FIN-DCF-001,A,qwen,qwen-coder,qwen/qwen3.8-max,OpenRouter public egress; Alibaba endpoint,REAL_PAID_PUBLIC_EGRESS_PASS1,1,1,1.000000,1.000000,1.000000,,N_LT_8,0,,496.792,NONE
P15-A-FIN-DEBUG-001,A,codex_gpt56sol,codex,gpt-5.6-sol,OpenAI,AVAILABLE_DEV_N4,4,4,1.000000,1.000000,1.000000,,N_LT_8,0,2.420612,1199.422,NONE
P15-A-FIN-DEBUG-001,A,claude,claude-code,anthropic/claude-opus-4.8,OpenRouter public egress,REAL_PAID_PUBLIC_EGRESS_PASS1,1,1,1.000000,1.000000,1.000000,,N_LT_8,0,1.279673,65.656,NONE
P15-A-FIN-DEBUG-001,A,qwen,qwen-coder,qwen/qwen3.8-max,OpenRouter public egress; Alibaba endpoint,REAL_PAID_PUBLIC_EGRESS_PASS1,1,1,1.000000,1.000000,1.000000,,N_LT_8,0,,360.056,NONE
P15-A-ENG-SIZING-001,A,codex_gpt56sol,codex,gpt-5.6-sol,OpenAI,AVAILABLE_DEV_N4,4,4,1.000000,1.000000,1.000000,,N_LT_8,0,2.300292,2009.100,NONE
P15-A-ENG-SIZING-001,A,claude,claude-code,anthropic/claude-opus-4.8,OpenRouter public egress,REAL_PAID_PUBLIC_EGRESS_PASS1,1,1,1.000000,1.000000,1.000000,,N_LT_8,0,2.138917,107.263,NONE
P15-A-ENG-SIZING-001,A,qwen,qwen-coder,qwen/qwen3.8-max,OpenRouter public egress; Alibaba endpoint,REAL_PAID_PUBLIC_EGRESS_PASS1,1,1,1.000000,1.000000,1.000000,,N_LT_8,0,,657.107,NONE
P15-A-STAT-EXPERIMENT-001,A,codex_gpt56sol,codex,gpt-5.6-sol,OpenAI,AVAILABLE_DEV_N4,4,0,0.385417,0.458334,0.000000,,N_LT_8,0,2.952708,3815.905,QC_EXCLUSION_CHAIN_NOT_PRESERVED
P15-A-STAT-EXPERIMENT-001,A,claude,claude-code,anthropic/claude-opus-4.8,OpenRouter public egress,REAL_PAID_PUBLIC_EGRESS_PASS1,1,1,1.000000,1.000000,1.000000,,N_LT_8,0,1.829012,128.074,NONE
P15-A-STAT-EXPERIMENT-001,A,qwen,qwen-coder,qwen/qwen3.8-max,OpenRouter public egress; Alibaba endpoint,REAL_PAID_PUBLIC_EGRESS_PASS1,1,0,0.666667,0.666667,0.000000,,N_LT_8,0,,847.737,QC_EXCLUSION_CHAIN_NOT_PRESERVED
P15-A-POLICY-EIA-001,A,codex_gpt56sol,codex,gpt-5.6-sol,OpenAI,AVAILABLE_DEV_N4,4,2,0.780000,0.780000,0.500000,,N_LT_8,0,4.290926,2199.485,NONE
P15-A-POLICY-EIA-001,A,claude,claude-code,anthropic/claude-opus-4.8,OpenRouter public egress,REAL_PAID_PUBLIC_EGRESS_PASS1,1,1,1.000000,1.000000,1.000000,,N_LT_8,0,2.385814,170.549,NONE
P15-A-POLICY-EIA-001,A,qwen,qwen-coder,qwen/qwen3.8-max,OpenRouter public egress; Alibaba endpoint,REAL_PAID_PUBLIC_EGRESS_PASS1,1,0,0.560000,0.560000,0.000000,,N_LT_8,0,,417.299,NONE
P15-B-SALES-DISCOVERY-001,B,codex_gpt56sol,codex,gpt-5.6-sol,OpenAI,AVAILABLE_DEV_N4,4,2,0.580000,0.580000,0.500000,,N_LT_8,0,2.358572,1973.618,NONE
P15-B-SALES-DISCOVERY-001,B,claude,claude-code,anthropic/claude-opus-4.8,OpenRouter public egress,REAL_PAID_PUBLIC_EGRESS_PASS1,1,0,0.160000,0.160000,0.000000,,N_LT_8,0,0.877254,47.087,NONE
P15-B-SALES-DISCOVERY-001,B,qwen,qwen-coder,qwen/qwen3.8-max,OpenRouter public egress; Alibaba endpoint,REAL_PAID_PUBLIC_EGRESS_PASS1,1,0,0.160000,0.160000,0.000000,,N_LT_8,0,,130.323,NONE
P15-B-OPS-CLEAN-JOIN-001,B,codex_gpt56sol,codex,gpt-5.6-sol,OpenAI,AVAILABLE_DEV_N4,4,0,0.096154,0.076924,0.000000,,N_LT_8,0,4.697481,4807.997,CLEAN_RECORDS_MISMATCH
P15-B-OPS-CLEAN-JOIN-001,B,claude,claude-code,anthropic/claude-opus-4.8,OpenRouter public egress,REAL_PAID_PUBLIC_EGRESS_PASS1,1,0,0.038462,0.038462,0.000000,,N_LT_8,0,1.383159,94.316,CLEAN_RECORDS_MISMATCH
P15-B-OPS-CLEAN-JOIN-001,B,qwen,qwen-coder,qwen/qwen3.8-max,OpenRouter public egress; Alibaba endpoint,REAL_PAID_PUBLIC_EGRESS_PASS1,1,0,0.038462,0.038462,0.000000,,N_LT_8,0,,105.538,CLEAN_RECORDS_MISMATCH
P15-B-FIN-RECON-001,B,codex_gpt56sol,codex,gpt-5.6-sol,OpenAI,AVAILABLE_DEV_N4,4,0,0.173077,0.153846,0.000000,,N_LT_8,0,3.129838,6142.035,FX_SOURCE_PERTURBATION_FAILED:StopIteration
P15-B-FIN-RECON-001,B,claude,claude-code,anthropic/claude-opus-4.8,OpenRouter public egress,REAL_PAID_PUBLIC_EGRESS_PASS1,1,0,0.000000,0.000000,0.000000,,N_LT_8,0,2.859192,224.274,NONE
P15-B-FIN-RECON-001,B,qwen,qwen-coder,qwen/qwen3.8-max,OpenRouter public egress; Alibaba endpoint,REAL_PAID_PUBLIC_EGRESS_PASS1,1,0,0.000000,0.000000,0.000000,,N_LT_8,0,,268.595,NONE
P15-B-PUBLIC-PIVOT-001,B,codex_gpt56sol,codex,gpt-5.6-sol,OpenAI,NOT_RUN_CURRENT_VERSION,0,0,,,,,N_LT_8,0,,,NOT_RUN
P15-B-PUBLIC-PIVOT-001,B,claude,claude-code,anthropic/claude-opus-4.8,OpenRouter public egress,NOT_RUN_CURRENT_VERSION,0,0,,,,,N_LT_8,0,,,NOT_RUN
