task_id,archived_workbook_n,valid_workbook_n,original_score_n,evaluated_n,replay_scoreable_n,valid_replay_scoreable_n,replay_judge_error_n,replay_task_invalid_n,native_recalc_required_n,artifact_missing_n,evaluator_error_n,score_match_n,score_changed_n,original_zero_n,replay_zero_n,original_score_ge_threshold_n,original_recorded_pass_n,valid_original_recorded_pass_n,replay_pass_n,valid_replay_pass_n,original_mean,replay_mean,valid_replay_mean,fixture_n,fixture_frozen_contract_pass_n,fixture_frozen_contract_fail_n,fixture_saved_validation_match_n,fixture_threshold_risk_n,evaluator_sha256
P15-A-ENG-SIZING-001,25,21,25,25,22,19,3,0,0,0,0,14,8,10,0,14,13,13,15,14,0.58166664,0.8560605,0.877192895,10,10,0,10,2,86ca7769d50403fdb24e938694a7053be280741f4ef9ecfc6649df7339e5b649
P15-A-FIN-DCF-001,25,22,24,25,25,22,0,0,0,0,0,12,12,6,0,12,11,11,17,15,0.640046333,0.74814816,0.728956227,10,10,0,10,4,77c62fac5ff30559a7682e8fd46fd71090e115d69cc18d2d375290bc9fa001f8
P15-A-FIN-DEBUG-001,23,22,23,23,23,22,0,0,0,0,0,23,0,0,0,23,23,22,23,22,1.0,1.0,1.0,10,10,0,10,1,e69e3875aec9eddca09a2f7e29b88fa9607b656f80f4a6d5af1f2362528deecc
P15-A-POLICY-EIA-001,24,22,24,24,0,0,0,24,0,0,0,0,0,2,0,8,8,8,0,0,0.64,,,9,0,9,9,4,5b397327b21bb2cf6766f5afb24e2d89a95b0268e25934be4a7797fc042d3447
P15-A-STAT-EXPERIMENT-001,25,21,24,25,23,19,2,0,0,0,0,2,20,10,1,2,2,2,14,12,0.35416675,0.871455478,0.881006737,11,11,0,11,3,177ecc391d752bcaf453ee92a5a2f639fc282f7a65aa036253c11907a90c8caa
P15-B-FIN-RECON-001,22,22,22,22,22,22,0,0,0,0,0,2,20,20,2,0,0,0,1,1,0.020979045,0.482517682,0.482517682,15,15,0,15,2,81ab7df5777cbe31da5cbf9330ce7d9e0ec24f21603be99cc8d9680a0659d440
P15-B-HEALTH-REPORT-001,24,22,23,24,24,22,0,0,0,0,0,0,23,8,0,1,1,1,14,13,0.222222174,0.844135875,0.840067409,13,13,0,13,2,fcb8cb2d003cece1e743007c9b7b3a9e59a3b0ca665e1f0d56bf57aa562604fe
P15-B-OPS-CLEAN-JOIN-001,23,19,23,23,21,17,2,0,0,0,0,0,21,9,0,0,0,0,8,6,0.023411652,0.855311333,0.846153824,11,11,0,11,2,36cb9b07097a259db0df8bb4f0821e3cf638b57b6778453e7859034549de72be
P15-B-PUBLIC-PIVOT-001,30,22,23,30,20,19,0,0,10,0,0,19,0,0,0,19,19,19,19,19,0.891304348,0.9828125,1.0,11,11,0,11,3,a8138f435dafa3f05640e685c41f436bc8ab5c3169275fd2e5c6e7efb0c80d60
P15-B-SALES-DISCOVERY-001,28,21,28,28,28,21,0,0,0,0,0,1,27,7,0,1,1,1,19,14,0.164285714,0.81,0.792380952,12,12,0,12,2,fa6ac3ec2a5d22598db4b14b14e274fdeb83e3f7d05585a36d7963065c6227da
P15-C-INVOICE-001,24,22,24,24,24,22,0,0,0,0,0,5,19,3,0,5,5,5,21,19,0.607758833,0.887931083,0.888714773,11,11,0,11,1,51ff332703db147a1371fe25af0c89b10c22cf841d2158e7a8089703a8fab60b
P15-C-PO-ADDENDUM-001,25,22,25,25,22,19,3,0,0,0,0,2,20,1,0,2,1,1,11,10,0.43733336,0.748484818,0.764912263,12,12,0,12,1,1bf950dd4d4db0f0a81b689f6b33cbd24a0eb70b1ba773574e1b34f5396c5649
P15-C-QUOTE-001,26,22,25,26,25,21,1,0,0,0,0,0,24,7,0,0,0,0,17,15,0.31034484,0.74758628,0.788177381,11,11,0,11,0,6500eff925bfc8af4380947c07d0dc10c5087565b92a641213a714be2ff9061f
P15-C-RECEIPTS-001,22,20,22,22,22,20,0,0,0,0,0,0,22,7,0,0,0,0,16,16,0.2272725,0.750000091,0.8183334,11,11,0,11,0,679e283fe1861ccae884b9097478bbd2880f829c56e00071b098e05be994a348
P15-C-STATEMENT-001,22,22,22,22,21,21,1,0,0,0,0,1,20,8,0,1,1,1,15,15,0.380302864,0.869841333,0.869841333,11,11,0,11,3,da10331857349726ed61ab5bb853c041cf148c4c988ffd6022fa808376233854
